len,time
9270,70886
9280,74168
9290,76532
9300,76719
9310,71909
9320,69053
9330,68521
9340,76550
9350,74123
9360,75947
9370,68197
9380,69357
9390,67348
9400,73164
9410,73544
9420,72420
9430,73485
9440,83021
9450,80953
9460,78519
9470,78312
9480,72066
9490,70698
9500,73715
9510,78812
9520,80784
9530,77307
9540,80079
9550,84479
9560,81380
9570,85404
9580,77178
9590,74769
9600,74905
9610,76395
9620,73364
9630,85192
9640,83673
9650,77961
9660,86876
9670,72738
9680,76482
9690,73265
9700,79029
9710,73405
9720,78470
9730,79211
9740,70762
9750,71136
9760,71270
9770,89678
9780,77311
9790,79096
9800,72153
9810,78085
9820,73953
9830,74148
9840,80984
9850,79016
9860,82154
9870,80060
9880,91524
9890,84674
9900,76288
9910,78512
9920,78855
9930,84128
9940,80173
9950,72707
9960,76138
9970,73805
9980,79565
9990,90675
10000,86424
10010,75611
10020,77377
10030,75198
10040,77242
10050,89722
10060,77796
10070,84107
10080,92045
10090,81324
10100,87802
10110,77634
10120,77290
10130,77736
10140,85810
10150,98833
10160,84510
10170,80212
10180,91354
10190,82054
10200,90383
10210,82390
10220,80731
10230,83741
10240,88419
10250,90412
10260,89416
10270,86950
10280,85087
10290,87828
10300,82996
10310,79698
10320,83995
10330,79802
10340,82543
10350,87583
10360,78645
10370,81940
10380,93178
10390,96458
10400,90116
10410,81200
10420,83300
10430,81713
10440,84338
10450,85575
10460,84419
10470,88954
10480,88634
10490,85720
10500,87730
10510,83218
10520,84940
10530,84601
10540,87945
10550,90499
10560,89091
10570,92375
10580,87775
10590,88561
10600,88103
10610,84178
10620,83634
10630,86041
10640,86834
10650,94779
10660,86068
10670,95519
10680,102660
10690,104133
10700,98925
10710,84561
10720,86620
10730,92101
10740,90178
10750,83522
10760,86293
10770,85744
10780,93932
10790,92843
10800,86568
10810,86356
10820,88713
10830,97243
10840,91197
10850,91448
10860,107404
10870,107117
10880,96781
10890,86118
10900,87978
10910,88561
10920,95978
10930,94880
10940,91875
10950,88189
10960,95125
10970,103345
10980,87617
10990,87018
11000,90048
11010,96600
11020,106352
11030,94954
11040,102821
11050,102760
11060,96655
11070,89958
11080,90155
11090,97355
11100,105677
11110,106486
11120,93303
11130,109685
11140,104368
11150,103464
11160,93768
11170,95402
11180,99523
11190,100940
11200,107468
11210,116485
11220,112534
11230,109782
11240,94486
11250,100606
11260,115628
11270,105692
11280,102286
11290,105243
11300,109084
11310,109255
11320,101865
11330,100756
11340,107416
11350,107300
11360,112683
11370,121807
11380,128934
11390,117282
11400,112763
11410,121830
11420,125090
11430,126622
11440,127740
11450,118455
11460,115196
11470,120200
11480,119350
11490,123086
11500,123682
11510,112207
11520,111653
11530,112099
11540,114869
11550,106435
11560,112931
11570,107534
11580,112805
11590,107749
11600,107503
11610,117568
11620,116212
11630,116458
11640,131954
11650,117210
11660,104215
11670,106198
11680,128046
11690,112619
11700,105811
11710,113924
11720,126490
11730,124100
11740,116715
11750,127792
11760,124317
11770,125740
11780,131112
11790,126732
11800,119938
11810,129083
11820,127615
11830,128833
11840,116370
11850,127083
11860,121887
11870,113128
11880,115717
11890,112317
11900,117346
11910,116135
11920,116234
11930,122391
11940,108322
11950,109365
11960,110438
11970,116237
11980,106659
11990,107004
