len,time
10900,1951
10910,1977
10920,2028
10930,2082
10940,2013
10950,2043
10960,2010
10970,2062
10980,2104
10990,2088
11000,2042
11010,1992
11020,2022
11030,2110
11040,2073
11050,2140
11060,1969
11070,1903
11080,1914
11090,2001
11100,1972
11110,2064
11120,2080
11130,2137
11140,2129
11150,2191
11160,2139
11170,2191
11180,2176
11190,2009
11200,1949
11210,1903
11220,1963
11230,2151
11240,2229
11250,2141
11260,2139
11270,2237
11280,2199
11290,2148
11300,2093
11310,2076
11320,2083
11330,2226
11340,2151
11350,2134
11360,2183
11370,2177
11380,2208
11390,2202
11400,2113
11410,2114
11420,2109
11430,2181
11440,2285
11450,2108
11460,2097
11470,2189
11480,2120
11490,2190
11500,2070
11510,2109
11520,1967
11530,1971
11540,1960
11550,2080
11560,2187
11570,2195
11580,2306
11590,2233
11600,2268
11610,2155
11620,2288
11630,2119
11640,2039
11650,2002
11660,2035
11670,2302
11680,2234
11690,2275
11700,2291
11710,2151
11720,2295
11730,2074
11740,2092
11750,1954
11760,2050
11770,2040
11780,2072
11790,2274
11800,2252
11810,2304
11820,2115
11830,2171
11840,2260
11850,2186
11860,2280
11870,2269
11880,2224
11890,2341
11900,2238
11910,2300
11920,2203
11930,2167
11940,2230
11950,2319
11960,2313
11970,2281
11980,2217
11990,2156
